DELETE FROM Services;
ALTER TABLE Services AUTO_INCREMENT = 10000000;
INSERT INTO Services (Description, ApprovedTherapy, Cost) VALUES
('Intestinal Transplant','Yes','1956'),
('Kidney Transplant / Kidney Exchange','Yes','2217'),
('Liver Transplant','No','1181'),
('Lung Transplant','Yes','1234'),
('Pancreas Transplant','Yes','1213'),
('Pediatric Heart Transplant','No','1827'),
('Pediatric Kidney Transplant','Yes','27'),
('Pediatric Liver Transplant','Yes','2022'),
('Bladder Cancer','Yes','1667'),
('Breast Health','Yes','888'),
('Breast Imaging','Yes','149'),
('Chronic Pelvic Pain Program','No','429'),
('Eating Disorders','Yes','409'),
('Family Planning','Yes','902'),
('Female Urological Conditions','No','2083'),
('Fertility and Reproductive Health','Yes','404'),
('Fibroid Treatment','No','188'),
('Gynecologic Oncology','Yes','1213'),
('Kidney Cancer','Yes','2465'),
('Kidney Stone Center','Yes','2315'),
('Labor & Delivery (The BirthPlace)','Yes','960'),
('Nurse Midwives','No','2779'),
('Obstetrics and Gynecology','No','2150'),
('Rape Treatment Center','Yes','2721'),
('Varicose Veins - Gonda Venous Center','Yes','312'),
('Womens Cardiovascular Center','Yes','508');
